offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
1,1,15,50,1,9999,FALSE,TRUE,TRUE,FALSE,12,57,43,1,0,0,0,0,0,0,FlipL1
1,1,300,50,1,8888,FALSE,TRUE,TRUE,FALSE,38,66,43,4,0,24,0,0,0,0,FlipL2
1,1,50,50,1,8888,TRUE,TRUE,TRUE,FALSE,27,74,7,6,0,23,0,0,0,0,FlipL3
10,1,5,50,0.1,44,FALSE,FALSE,TRUE,FALSE,24,68,7,0,0,0,0,0,0,0,FlipL1.1
15,1,5,50,0.2,16,FALSE,FALSE,TRUE,FALSE,24,64,7,0,0,0,0,0,0,0,FlipL1.2
45,1,30,50,1,25,FALSE,FALSE,TRUE,FALSE,24,64,7,0,0,0,0,0,0,0,FlipL1.3
75,1,4,50,0.4,75,FALSE,FALSE,TRUE,FALSE,24,64,7,0,0,0,0,0,0,0,FlipL1.4
115,1,4,50,0.4,25,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL1.5
225,1,3,50,50,46,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL1.6
365,1,2,50,50,25,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL1.7
425,1,2,100,50,48,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL1.8
175,1,10,50,999,9999,FALSE,TRUE,TRUE,FALSE,38,64,29,0,0,0,0,0,0,0,FlipL1.9
225,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,38,64,29,0,0,0,0,0,0,0,FlipL1.10
375,1,0.1,100,999,9999,FALSE,TRUE,TRUE,FALSE,38,64,29,0,0,0,0,0,0,0,FlipL1.11
75,1,5,25,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL2.1
125,1,5,25,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL2.2
257,1,4,50,999,9999,FALSE,FALSE,TRUE,FALSE,17,55,29,0,0,0,0,0,0,0,FlipL2.3
365,1,4,50,999,9999,FALSE,FALSE,TRUE,FALSE,22,55,29,0,0,0,0,0,0,0,FlipL2.4
425,1,3,75,999,9999,FALSE,FALSE,TRUE,FALSE,25,55,29,0,0,0,0,0,0,0,FlipL2.5
475,1,3,75,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,0,0,0,0,0,0,0,FlipL2.6
625,1,3,125,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,0,0,0,0,0,0,0,FlipL2.7
710,1,3,125,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,0,0,0,0,0,0,0,FlipL2.8
805,1,2,250,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,0,0,0,0,0,0,0,FlipL2.9
925,1,3,500,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,46,168,0,0,0,0,0,FlipL2.10
1050,1,1.4,750,999,9999,FALSE,FALSE,TRUE,FALSE,36,55,29,0,0,0,0,0,0,0,FlipL2.11
5,1,25,50,0.01,14,FALSE,FALSE,TRUE,FALSE,24,68,29,0,0,0,0,0,0,0,FlipL2.10.1
10,1,5,50,0.1,44,FALSE,FALSE,TRUE,FALSE,24,68,29,0,0,0,0,0,0,0,FlipL2.10.2
35,1,5,100,0.2,16,FALSE,FALSE,TRUE,FALSE,24,64,29,0,0,0,0,0,0,0,FlipL2.10.3
55,1,3,150,1,25,FALSE,FALSE,TRUE,FALSE,24,64,29,0,0,0,0,0,0,0,FlipL2.10.4
125,1,0.5,250,0.4,75,FALSE,FALSE,TRUE,FALSE,24,64,29,0,0,0,0,0,0,0,FlipL2.10.5
232,1,2,400,0.4,25,FALSE,FALSE,TRUE,FALSE,17,68,29,0,0,0,0,0,0,0,FlipL2.10.6
5,1,25,50,0.01,14,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,FlipL3.1
10,1,5,50,0.1,44,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,FlipL3.2
15,1,5,100,0.2,16,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,FlipL3.3
45,1,3,100,1,25,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,FlipL3.4
75,1,0.5,100,0.4,75,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,FlipL3.5
115,1,2,150,0.4,25,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,FlipL3.6
40,1,0.2,50,5,9999,FALSE,TRUE,TRUE,FALSE,31,71,43,0,0,0,0,0,0,0,FlipL3.7
90,1,0.2,50,5,9999,FALSE,TRUE,TRUE,FALSE,31,71,43,0,0,0,0,0,0,0,FlipL3.8
220,1,0.1,100,10,9999,FALSE,TRUE,TRUE,FALSE,31,71,43,0,0,0,0,0,0,0,FlipL3.9
460,1,0.1,100,15,9999,FALSE,TRUE,TRUE,FALSE,31,71,43,0,0,0,0,0,0,0,FlipL3.10
